station,valid,tmpf,dwpf,relh,skyc1,state
ALN,2018-01-01T00:45:00Z,6.8,-2.2,65.87,CLR,Illinois
ALN,2018-01-01T01:54:00Z,5,-2.2,71.5,CLR,Illinois
ALN,2018-01-01T02:47:00Z,3.2,-2.2,77.67,CLR,Illinois
ALN,2018-01-01T03:45:00Z,3.2,-4,71.29,CLR,Illinois
ALN,2018-01-01T04:15:00Z,2.3,-3.6,75.75,CLR,Illinois
ALN,2018-01-01T04:35:00Z,2.1,-4,75.01,CLR,Illinois
ALN,2018-01-01T04:55:00Z,1.8,-4.9,72.85,CLR,Illinois
ALN,2018-01-01T05:15:00Z,1.4,-5.1,73.51,CLR,Illinois
ALN,2018-01-01T05:35:00Z,1,-5.4,73.82,CLR,Illinois
ALN,2018-01-01T05:55:00Z,0.5,-5.8,74.12,CLR,Illinois
ALN,2018-01-01T06:15:00Z,0.1,-5.4,76.99,CLR,Illinois
ALN,2018-01-01T06:35:00Z,-0.4,-5.4,78.82,CLR,Illinois
ALN,2018-01-01T06:55:00Z,-0.9,-5.4,80.7,CLR,Illinois
ALN,2018-01-01T07:15:00Z,-1.1,-5.8,79.91,CLR,Illinois
ALN,2018-01-01T07:35:00Z,-1.7,-6.3,80.24,CLR,Illinois
ALN,2018-01-01T07:55:00Z,-2.2,-7.2,78.65,CLR,Illinois
ALN,2018-01-01T08:15:00Z,-2.6,-7.6,78.62,CLR,Illinois
ALN,2018-01-01T08:35:00Z,-3.1,-8.5,77.05,CLR,Illinois
ALN,2018-01-01T08:55:00Z,-3.6,-8.7,78.14,CLR,Illinois
ALN,2018-01-01T09:15:00Z,-4,-9.8,75.46,CLR,Illinois
ALN,2018-01-01T09:35:00Z,-4.5,-10.5,74.66,CLR,Illinois
ALN,2018-01-01T09:55:00Z,-4.9,-11.4,72.79,CLR,Illinois
ALN,2018-01-01T10:15:00Z,-5.3,-11.4,74.21,CLR,Illinois
ALN,2018-01-01T10:35:00Z,-5.8,-13,70.19,CLR,Illinois
ALN,2018-01-01T10:55:00Z,-5.8,-12.3,72.69,CLR,Illinois
ALN,2018-01-01T11:15:00Z,-6.3,-13.2,71.19,CLR,Illinois
ALN,2018-01-01T11:35:00Z,-6.7,-14.1,69.37,CLR,Illinois
ALN,2018-01-01T11:55:00Z,-7.1,-14.1,70.73,CLR,Illinois
ALN,2018-01-01T12:15:00Z,-7.2,-14.8,68.61,CLR,Illinois
ALN,2018-01-01T12:35:00Z,-7.6,-14.1,72.47,CLR,Illinois
ALN,2018-01-01T12:55:00Z,-7.6,-14.8,69.96,CLR,Illinois
ALN,2018-01-01T13:45:00Z,-7.6,-14.8,69.96,CLR,Illinois
ALN,2018-01-01T14:45:00Z,-5.8,-14.8,64.11,CLR,Illinois
ALN,2018-01-01T15:45:00Z,-2.2,-13,59.08,CLR,Illinois
ALN,2018-01-01T16:45:00Z,-0.4,-11.2,59.36,CLR,Illinois
ALN,2018-01-01T17:50:00Z,3.2,-9.4,54.86,CLR,Illinois
ALN,2018-01-01T18:50:00Z,5,-7.6,55.15,CLR,Illinois
ALN,2018-01-01T19:52:00Z,8.6,-5.8,51.11,CLR,Illinois
ALN,2018-01-01T20:48:00Z,8.6,-5.8,51.11,CLR,Illinois
ALN,2018-01-01T21:50:00Z,8.6,-5.8,51.11,CLR,Illinois
ALN,2018-01-01T22:50:00Z,5,-5.8,60.18,CLR,Illinois
ALN,2018-01-01T23:50:00Z,5,-5.8,60.18,CLR,Illinois
ALN,2018-01-02T00:50:00Z,3.2,-5.8,65.38,CLR,Illinois
ALN,2018-01-02T01:50:00Z,-2.2,-7.6,77.14,CLR,Illinois
ALN,2018-01-02T02:50:00Z,-0.4,-7.6,70.85,CLR,Illinois
ALN,2018-01-02T03:50:00Z,-0.4,-7.6,70.85,CLR,Illinois
ALN,2018-01-02T04:15:00Z,0.3,-6.9,70.94,CLR,Illinois
ALN,2018-01-02T04:35:00Z,-1.1,-7.6,73.23,CLR,Illinois
ALN,2018-01-02T04:55:00Z,-1.3,-7.1,75.74,CLR,Illinois
ALN,2018-01-02T05:15:00Z,-0.8,-6.9,74.7,CLR,Illinois
ALN,2018-01-02T05:35:00Z,-0.8,-6.9,74.7,CLR,Illinois
ALN,2018-01-02T05:55:00Z,-2.4,-7.8,77.12,CLR,Illinois
ALN,2018-01-02T06:15:00Z,-2.4,-7.1,79.79,CLR,Illinois
ALN,2018-01-02T06:35:00Z,-2,-6.9,79.06,CLR,Illinois
ALN,2018-01-02T06:55:00Z,-1.5,-7.2,76.09,CLR,Illinois
ALN,2018-01-02T07:15:00Z,-1.3,-7.6,73.92,CLR,Illinois
ALN,2018-01-02T07:35:00Z,-1.7,-7.6,75.33,CLR,Illinois
ALN,2018-01-02T07:55:00Z,-1.8,-7.6,75.69,CLR,Illinois
ALN,2018-01-02T08:15:00Z,-2.2,-7.8,76.39,CLR,Illinois
ALN,2018-01-02T08:35:00Z,-2.4,-7.8,77.12,CLR,Illinois
ALN,2018-01-02T08:55:00Z,-3.3,-7.8,80.49,CLR,Illinois
ALN,2018-01-02T09:15:00Z,-4.9,-8.7,83.16,CLR,Illinois
ALN,2018-01-02T09:35:00Z,-4.9,-8.7,83.16,CLR,Illinois
ALN,2018-01-02T09:55:00Z,-3.8,-8.1,81.24,CLR,Illinois
ALN,2018-01-02T10:15:00Z,-5.4,-9.8,80.7,CLR,Illinois
ALN,2018-01-02T10:35:00Z,-4.9,-8.5,83.98,CLR,Illinois
ALN,2018-01-02T10:55:00Z,-5.1,-9.4,81.13,CLR,Illinois
ALN,2018-01-02T11:15:00Z,-5.1,-8.7,83.96,CLR,Illinois
ALN,2018-01-02T11:35:00Z,-4.5,-8.1,84.01,CLR,Illinois
ALN,2018-01-02T11:55:00Z,-4.9,-8.7,83.16,CLR,Illinois
ALN,2018-01-02T12:15:00Z,-4.9,-8.5,83.98,CLR,Illinois
ALN,2018-01-02T12:35:00Z,-6.7,-10.1,84.68,CLR,Illinois
ALN,2018-01-02T12:50:00Z,-7.6,-11.2,83.78,CLR,Illinois
ALN,2018-01-02T13:52:00Z,-4,-7.6,84.04,FEW,Illinois
ALN,2018-01-02T14:53:00Z,1.4,-5.8,71.07,FEW,Illinois
ALN,2018-01-02T15:50:00Z,5,-4,65.62,CLR,Illinois
ALN,2018-01-02T16:47:00Z,6.8,-2.2,65.87,CLR,Illinois
ALN,2018-01-02T17:50:00Z,10.4,-0.4,60.99,CLR,Illinois
ALN,2018-01-02T18:52:00Z,12.2,-0.4,56.3,CLR,Illinois
ALN,2018-01-02T19:45:00Z,14,-0.4,52.01,CLR,Illinois
ALN,2018-01-02T20:50:00Z,15.8,-0.4,48.08,CLR,Illinois
ALN,2018-01-02T21:50:00Z,15.8,1.4,52.31,CLR,Illinois
ALN,2018-01-02T22:50:00Z,12.2,-0.4,56.3,CLR,Illinois
ALN,2018-01-02T23:50:00Z,12.2,-0.4,56.3,CLR,Illinois
ALN,2018-01-03T00:50:00Z,10.4,-0.4,60.99,CLR,Illinois
ALN,2018-01-03T01:50:00Z,12.2,-0.4,56.3,CLR,Illinois
ALN,2018-01-03T02:50:00Z,10.4,1.4,66.35,CLR,Illinois
ALN,2018-01-03T03:50:00Z,10.4,1.4,66.35,CLR,Illinois
ALN,2018-01-03T04:15:00Z,10.8,1.9,66.71,CLR,Illinois
ALN,2018-01-03T04:35:00Z,10.2,2.5,70.45,CLR,Illinois
ALN,2018-01-03T04:55:00Z,11.1,2.3,67.06,CLR,Illinois
ALN,2018-01-03T05:15:00Z,11.5,3,68.05,CLR,Illinois
ALN,2018-01-03T05:35:00Z,11.3,3.9,71.56,CLR,Illinois
ALN,2018-01-03T05:55:00Z,12,4.5,71.32,CLR,Illinois
ALN,2018-01-03T06:15:00Z,12.6,4.6,69.77,CLR,Illinois
ALN,2018-01-03T06:35:00Z,12.9,5.5,71.75,CLR,Illinois
ALN,2018-01-03T06:55:00Z,14,5.5,68.36,CLR,Illinois
ALN,2018-01-03T07:15:00Z,15.8,5.5,63.2,SCT,Illinois
ALN,2018-01-03T07:35:00Z,16.3,5.4,61.56,SCT,Illinois
ALN,2018-01-03T07:55:00Z,15.1,6.8,69.12,BKN,Illinois
ALN,2018-01-03T08:15:00Z,16.9,6.4,62.78,OVC,Illinois
ALN,2018-01-03T08:35:00Z,17.6,6.4,60.91,BKN,Illinois
ALN,2018-01-03T08:55:00Z,18.3,5.9,57.77,SCT,Illinois
ALN,2018-01-03T09:15:00Z,18.5,6.3,58.33,SCT,Illinois
ALN,2018-01-03T09:35:00Z,18.5,6.4,58.59,SCT,Illinois
ALN,2018-01-03T09:55:00Z,18.9,6.6,58.12,SCT,Illinois
ALN,2018-01-03T10:15:00Z,19,6.4,57.35,BKN,Illinois
ALN,2018-01-03T10:35:00Z,19,6.8,58.4,SCT,Illinois
ALN,2018-01-03T10:55:00Z,19.2,7.2,58.97,OVC,Illinois
ALN,2018-01-03T11:15:00Z,19.2,7.5,59.77,OVC,Illinois
ALN,2018-01-03T11:35:00Z,19.4,7.7,59.8,OVC,Illinois
ALN,2018-01-03T11:55:00Z,19.4,8.2,61.17,OVC,Illinois
ALN,2018-01-03T12:15:00Z,19.9,9,62.07,SCT,Illinois
ALN,2018-01-03T12:35:00Z,20.1,9.5,62.94,SCT,Illinois
ALN,2018-01-03T12:48:00Z,19.4,8.6,62.28,OVC,Illinois
ALN,2018-01-03T13:52:00Z,21.2,10.4,62.53,OVC,Illinois
ALN,2018-01-03T14:50:00Z,21.2,10.4,62.53,OVC,Illinois
ALN,2018-01-03T15:48:00Z,21.2,10.4,62.53,OVC,Illinois
ALN,2018-01-03T16:47:00Z,23,12.2,62.78,OVC,Illinois
ALN,2018-01-03T17:50:00Z,23,14,67.96,OVC,Illinois
ALN,2018-01-03T18:50:00Z,24.8,14,63.03,OVC,Illinois
ALN,2018-01-03T19:50:00Z,24.8,10.4,53.75,SCT,Illinois
ALN,2018-01-03T20:50:00Z,23,8.6,53.47,FEW,Illinois
ALN,2018-01-03T21:50:00Z,21.2,8.6,57.69,CLR,Illinois
ALN,2018-01-03T22:45:00Z,17.6,6.8,62.02,CLR,Illinois
ALN,2018-01-03T23:45:00Z,17.6,6.8,62.02,CLR,Illinois
ALN,2018-01-04T00:52:00Z,14,5,66.82,CLR,Illinois
ALN,2018-01-04T01:45:00Z,12.2,5,72.33,CLR,Illinois
ALN,2018-01-04T02:57:00Z,10.4,3.2,72.12,CLR,Illinois
ALN,2018-01-04T03:53:00Z,10.4,1.4,66.35,CLR,Illinois
ALN,2018-01-04T04:15:00Z,9.1,1.4,70.32,CLR,Illinois
ALN,2018-01-04T04:35:00Z,8.2,0.5,70.21,CLR,Illinois
ALN,2018-01-04T04:55:00Z,7.7,0.1,70.48,CLR,Illinois
ALN,2018-01-04T05:15:00Z,7,-0.4,71.06,CLR,Illinois
ALN,2018-01-04T05:35:00Z,6.8,-0.4,71.71,CLR,Illinois
ALN,2018-01-04T05:55:00Z,6.3,-0.6,72.67,CLR,Illinois
ALN,2018-01-04T06:15:00Z,5.9,-0.8,73.31,CLR,Illinois
ALN,2018-01-04T06:35:00Z,5.7,-0.9,73.64,CLR,Illinois
ALN,2018-01-04T06:55:00Z,5.5,-0.8,74.66,CLR,Illinois
ALN,2018-01-04T07:15:00Z,5,-1.1,75.32,CLR,Illinois
ALN,2018-01-04T07:35:00Z,4.6,-1.3,75.99,CLR,Illinois
ALN,2018-01-04T07:55:00Z,4.5,-1.1,77.06,CLR,Illinois
ALN,2018-01-04T08:15:00Z,4.1,-1.3,77.75,CLR,Illinois
ALN,2018-01-04T08:35:00Z,4.1,-1.1,78.49,CLR,Illinois
ALN,2018-01-04T08:55:00Z,3.9,-1.3,78.47,CLR,Illinois
ALN,2018-01-04T09:15:00Z,3.7,-1.3,79.2,CLR,Illinois
ALN,2018-01-04T09:35:00Z,3.6,-1.3,79.56,CLR,Illinois
ALN,2018-01-04T09:55:00Z,3.2,-1.5,80.28,CLR,Illinois
ALN,2018-01-04T10:15:00Z,3,-1.7,80.27,CLR,Illinois
ALN,2018-01-04T10:35:00Z,2.8,-1.7,81.01,CLR,Illinois
ALN,2018-01-04T10:55:00Z,2.3,-2,81.74,CLR,Illinois
ALN,2018-01-04T11:15:00Z,2.3,-2,81.74,CLR,Illinois
ALN,2018-01-04T11:35:00Z,2.1,-2.2,81.73,CLR,Illinois
ALN,2018-01-04T11:55:00Z,1.4,-2.2,84.43,CLR,Illinois
ALN,2018-01-04T12:15:00Z,1.4,-2.2,84.43,CLR,Illinois
ALN,2018-01-04T12:35:00Z,1.2,-2.4,84.42,CLR,Illinois
ALN,2018-01-04T12:50:00Z,1.4,-2.2,84.43,CLR,Illinois
ALN,2018-01-04T13:50:00Z,1.4,-2.2,84.43,CLR,Illinois
ALN,2018-01-04T14:50:00Z,3.2,-2.2,77.67,CLR,Illinois
ALN,2018-01-04T15:50:00Z,6.8,-0.4,71.71,CLR,Illinois
ALN,2018-01-04T16:50:00Z,10.4,-0.4,60.99,CLR,Illinois
ALN,2018-01-04T17:45:00Z,12.2,-0.4,56.3,CLR,Illinois
ALN,2018-01-04T18:45:00Z,14,1.4,56.58,SCT,Illinois
ALN,2018-01-04T19:45:00Z,15.8,1.4,52.31,BKN,Illinois
ALN,2018-01-04T20:45:00Z,15.8,1.4,52.31,BKN,Illinois
ALN,2018-01-04T21:45:00Z,15.8,1.4,52.31,OVC,Illinois
ALN,2018-01-04T22:45:00Z,15.8,1.4,52.31,SCT,Illinois
ALN,2018-01-04T23:49:00Z,14,1.4,56.58,SCT,Illinois
ALN,2018-01-05T00:54:00Z,14,1.4,56.58,CLR,Illinois
ALN,2018-01-05T01:55:00Z,12.2,1.4,61.25,BKN,Illinois
ALN,2018-01-05T02:54:00Z,12.2,1.4,61.25,OVC,Illinois
ALN,2018-01-05T03:54:00Z,12.2,1.4,61.25,SCT,Illinois
ALN,2018-01-05T04:15:00Z,12.9,2.5,62.5,SCT,Illinois
ALN,2018-01-05T04:35:00Z,12.9,2.5,62.5,SCT,Illinois
ALN,2018-01-05T04:55:00Z,13.1,3.2,63.99,BKN,Illinois
ALN,2018-01-05T05:15:00Z,13.1,3.6,65.18,BKN,Illinois
ALN,2018-01-05T05:35:00Z,12.9,4.1,67.29,SCT,Illinois
ALN,2018-01-05T05:55:00Z,12.7,5,70.75,OVC,Illinois
ALN,2018-01-05T06:15:00Z,12.6,5.5,72.7,SCT,Illinois
ALN,2018-01-05T06:35:00Z,12.2,5.9,75.36,BKN,Illinois
ALN,2018-01-05T06:55:00Z,12.2,6.3,76.75,SCT,Illinois
ALN,2018-01-05T07:15:00Z,12,6.8,79.21,SCT,Illinois
ALN,2018-01-05T07:35:00Z,11.8,7.5,82.49,SCT,Illinois
ALN,2018-01-05T07:55:00Z,11.7,7.5,82.86,SCT,Illinois
ALN,2018-01-05T08:15:00Z,11.8,8.1,84.76,BKN,Illinois
ALN,2018-01-05T08:35:00Z,11.8,7.9,83.99,OVC,Illinois
ALN,2018-01-05T08:55:00Z,12,8.2,84.39,OVC,Illinois
ALN,2018-01-05T09:15:00Z,12,8.1,84.01,OVC,Illinois
ALN,2018-01-05T09:35:00Z,12,8.6,85.92,OVC,Illinois
ALN,2018-01-05T09:55:00Z,12.2,8.4,84.4,OVC,Illinois
ALN,2018-01-05T10:15:00Z,12.2,8.2,83.65,OVC,Illinois
ALN,2018-01-05T10:35:00Z,12.2,8.2,83.65,OVC,Illinois
ALN,2018-01-05T10:55:00Z,12,8.1,84.01,OVC,Illinois
ALN,2018-01-05T11:15:00Z,12.2,8.4,84.4,OVC,Illinois
ALN,2018-01-05T11:35:00Z,12.2,8.1,83.27,OVC,Illinois
ALN,2018-01-05T11:55:00Z,12.2,8.4,84.4,OVC,Illinois
ALN,2018-01-05T12:15:00Z,12.6,8.6,83.67,OVC,Illinois
ALN,2018-01-05T12:35:00Z,12.6,8.6,83.67,OVC,Illinois
ALN,2018-01-05T12:50:00Z,12.2,8.6,85.17,OVC,Illinois
ALN,2018-01-05T13:50:00Z,12.2,8.6,85.17,OVC,Illinois
ALN,2018-01-05T14:50:00Z,12.2,8.6,85.17,OVC,Illinois
ALN,2018-01-05T15:50:00Z,14,8.6,78.68,OVC,Illinois
ALN,2018-01-05T16:50:00Z,14,8.6,78.68,SCT,Illinois
ALN,2018-01-05T17:58:00Z,15.8,8.6,72.73,OVC,Illinois
ALN,2018-01-05T18:52:00Z,17.6,8.6,67.28,OVC,Illinois
ALN,2018-01-05T19:57:00Z,17.6,6.8,62.02,OVC,Illinois
ALN,2018-01-05T20:57:00Z,17.6,6.8,62.02,FEW,Illinois
ALN,2018-01-05T21:53:00Z,17.6,6.8,62.02,SCT,Illinois
ALN,2018-01-05T22:45:00Z,15.8,6.8,67.05,SCT,Illinois
ALN,2018-01-05T23:45:00Z,14,5,66.82,SCT,Illinois
ALN,2018-01-06T00:59:00Z,12.2,5,72.33,SCT,Illinois
ALN,2018-01-06T01:45:00Z,10.4,5,78.35,SCT,Illinois
ALN,2018-01-06T02:45:00Z,8.6,3.2,78.18,SCT,Illinois
ALN,2018-01-06T03:45:00Z,6.8,1.4,78.01,SCT,Illinois
ALN,2018-01-06T04:15:00Z,6.8,1.4,78.01,CLR,Illinois
ALN,2018-01-06T04:30:00Z,5.9,0.9,79.4,CLR,Illinois
ALN,2018-01-06T04:55:00Z,5.9,0.7,78.66,CLR,Illinois
ALN,2018-01-06T05:15:00Z,5.7,1,80.5,CLR,Illinois
ALN,2018-01-06T05:35:00Z,5.4,0,77.88,CLR,Illinois
ALN,2018-01-06T05:55:00Z,4.8,-0.2,79.3,CLR,Illinois
ALN,2018-01-06T06:15:00Z,2.7,-0.9,84.52,CLR,Illinois
ALN,2018-01-06T06:35:00Z,2.3,-1.1,85.3,CLR,Illinois
ALN,2018-01-06T06:55:00Z,3.4,0.3,86.58,CLR,Illinois
ALN,2018-01-06T07:15:00Z,3.6,-0.6,82.23,CLR,Illinois
ALN,2018-01-06T07:35:00Z,3.7,-1.3,79.2,CLR,Illinois
ALN,2018-01-06T07:55:00Z,3.6,-1.3,79.56,CLR,Illinois
ALN,2018-01-06T08:15:00Z,2.7,-1.7,81.39,CLR,Illinois
ALN,2018-01-06T08:35:00Z,1.6,-2.2,83.65,CLR,Illinois
ALN,2018-01-06T08:55:00Z,1.2,-2.6,83.62,CLR,Illinois
ALN,2018-01-06T09:15:00Z,1.9,-2,83.28,CLR,Illinois
ALN,2018-01-06T09:35:00Z,0.1,-3.1,85.96,CLR,Illinois
ALN,2018-01-06T09:55:00Z,0.7,-2.6,85.59,CLR,Illinois
ALN,2018-01-06T10:15:00Z,0.1,-2.7,87.62,CLR,Illinois
ALN,2018-01-06T10:35:00Z,-0.4,-2.7,89.7,CLR,Illinois
ALN,2018-01-06T10:55:00Z,-0.2,-2.7,88.86,CLR,Illinois
ALN,2018-01-06T11:15:00Z,-1.8,-4.9,86.25,CLR,Illinois
ALN,2018-01-06T11:35:00Z,-0.8,-3.6,87.56,CLR,Illinois
ALN,2018-01-06T11:55:00Z,-1.8,-4.5,87.93,CLR,Illinois
ALN,2018-01-06T12:15:00Z,-0.9,-3.6,87.98,CLR,Illinois
ALN,2018-01-06T12:35:00Z,-2.4,-4.5,90.46,CLR,Illinois
ALN,2018-01-06T12:45:00Z,-2.2,-4,91.78,CLR,Illinois
ALN,2018-01-06T13:53:00Z,-2.2,-4,91.78,CLR,Illinois
ALN,2018-01-06T14:49:00Z,5,-0.4,77.84,CLR,Illinois
ALN,2018-01-06T15:52:00Z,8.6,3.2,78.18,CLR,Illinois
ALN,2018-01-06T16:45:00Z,10.4,1.4,66.35,CLR,Illinois
ALN,2018-01-06T17:59:00Z,14,1.4,56.58,CLR,Illinois
ALN,2018-01-06T18:59:00Z,17.6,-0.4,44.48,CLR,Illinois
ALN,2018-01-06T19:45:00Z,17.6,1.4,48.39,CLR,Illinois
ALN,2018-01-06T20:45:00Z,19.4,1.4,44.79,CLR,Illinois
ALN,2018-01-06T21:45:00Z,19.4,1.4,44.79,CLR,Illinois
ALN,2018-01-06T22:45:00Z,17.6,-0.4,44.48,CLR,Illinois
ALN,2018-01-06T23:47:00Z,12.2,1.4,61.25,CLR,Illinois
ALN,2018-01-07T00:47:00Z,14,1.4,56.58,CLR,Illinois
ALN,2018-01-07T01:47:00Z,14,1.4,56.58,CLR,Illinois
ALN,2018-01-07T02:47:00Z,14,1.4,56.58,CLR,Illinois
ALN,2018-01-07T03:45:00Z,15.8,1.4,52.31,CLR,Illinois
ALN,2018-01-07T04:15:00Z,15.3,2.5,56.26,CLR,Illinois
ALN,2018-01-07T04:35:00Z,16.2,2.7,54.6,CLR,Illinois
ALN,2018-01-07T04:55:00Z,16.2,2.8,54.86,CLR,Illinois
ALN,2018-01-07T05:15:00Z,16.5,3,54.65,SCT,Illinois
ALN,2018-01-07T05:35:00Z,16.7,3,54.18,SCT,Illinois
ALN,2018-01-07T05:55:00Z,17.1,3,53.25,BKN,Illinois
ALN,2018-01-07T06:15:00Z,17.2,3,53.02,BKN,Illinois
ALN,2018-01-07T06:35:00Z,17.4,3,52.57,BKN,Illinois
ALN,2018-01-07T06:55:00Z,17.6,3.2,52.6,BKN,Illinois
ALN,2018-01-07T07:15:00Z,17.6,3.2,52.6,BKN,Illinois
ALN,2018-01-07T07:35:00Z,17.8,3.2,52.15,SCT,Illinois
ALN,2018-01-07T07:55:00Z,18.5,3.4,51.07,BKN,Illinois
ALN,2018-01-07T08:15:00Z,18.5,3.2,50.6,BKN,Illinois
ALN,2018-01-07T08:35:00Z,18.5,3.7,51.78,CLR,Illinois
ALN,2018-01-07T08:55:00Z,18.9,3.9,51.37,CLR,Illinois
ALN,2018-01-07T09:15:00Z,19,4.6,52.83,CLR,Illinois
ALN,2018-01-07T09:35:00Z,19.4,4.6,51.93,SCT,Illinois
ALN,2018-01-07T09:55:00Z,19.9,4.8,51.3,SCT,Illinois
ALN,2018-01-07T10:15:00Z,20.3,4.6,49.97,SCT,Illinois
ALN,2018-01-07T10:35:00Z,21.2,4.5,47.88,BKN,Illinois
ALN,2018-01-07T10:55:00Z,21.2,4.5,47.88,SCT,Illinois
ALN,2018-01-07T11:15:00Z,21.2,4.8,48.54,SCT,Illinois
ALN,2018-01-07T11:35:00Z,21.6,5.4,49.06,SCT,Illinois
ALN,2018-01-07T11:55:00Z,21.2,5.9,51.05,SCT,Illinois
ALN,2018-01-07T12:15:00Z,21.4,5.9,50.62,CLR,Illinois
ALN,2018-01-07T12:35:00Z,21.6,6.4,51.34,CLR,Illinois
ALN,2018-01-07T12:48:00Z,21.2,6.8,53.18,OVC,Illinois
ALN,2018-01-07T13:50:00Z,23,8.6,53.47,SCT,Illinois
ALN,2018-01-07T14:50:00Z,24.8,10.4,53.75,SCT,Illinois
ALN,2018-01-07T15:46:00Z,28.4,12.2,50.17,SCT,Illinois
ALN,2018-01-07T16:53:00Z,32,14,46.92,BKN,Illinois
ALN,2018-01-07T17:47:00Z,33.8,15.8,47.22,BKN,Illinois
ALN,2018-01-07T18:46:00Z,35.6,17.6,47.51,BKN,Illinois
ALN,2018-01-07T19:45:00Z,37.4,17.6,44.25,BKN,Illinois
ALN,2018-01-07T20:45:00Z,37.4,21.2,51.61,BKN,Illinois
ALN,2018-01-07T21:45:00Z,35.6,24.8,64.46,BKN,Illinois
ALN,2018-01-07T22:45:00Z,33.8,28.4,80.36,SCT,Illinois
ALN,2018-01-07T23:45:00Z,32,32,100,BKN,Illinois
ALN,2018-01-08T00:45:00Z,32,32,NA,BKN,Illinois
ALN,2018-01-08T01:47:00Z,32,32,NA,SCT,Illinois
ALN,2018-01-08T02:46:00Z,32,32,NA,SCT,Illinois
ALN,2018-01-08T03:45:00Z,33.8,33.8,NA,SCT,Illinois
ALN,2018-01-08T04:15:00Z,33.1,33.1,NA,OVC,Illinois
ALN,2018-01-08T04:35:00Z,NA,NA,NA,SCT,Illinois
ALN,2018-01-08T04:55:00Z,33.4,33.4,NA,SCT,Illinois
ALN,2018-01-08T05:15:00Z,33.8,33.8,NA,BKN,Illinois
ALN,2018-01-08T05:35:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T05:55:00Z,33.8,33.8,NA,SCT,Illinois
ALN,2018-01-08T06:15:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T06:35:00Z,34,34,NA,OVC,Illinois
ALN,2018-01-08T06:55:00Z,34.2,34.2,NA,OVC,Illinois
ALN,2018-01-08T07:15:00Z,34,34,NA,OVC,Illinois
ALN,2018-01-08T07:35:00Z,34,34,NA,BKN,Illinois
ALN,2018-01-08T07:55:00Z,34,34,NA,BKN,Illinois
ALN,2018-01-08T08:15:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T08:35:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T08:55:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T09:15:00Z,34.2,34.2,NA,OVC,Illinois
ALN,2018-01-08T09:35:00Z,34.7,34.7,NA,OVC,Illinois
ALN,2018-01-08T09:55:00Z,34.9,34.9,NA,OVC,Illinois
ALN,2018-01-08T10:15:00Z,35.4,35.4,NA,OVC,Illinois
ALN,2018-01-08T10:35:00Z,35.2,35.2,NA,OVC,Illinois
ALN,2018-01-08T10:55:00Z,34.7,34.7,NA,OVC,Illinois
ALN,2018-01-08T11:15:00Z,34.3,34.3,NA,OVC,Illinois
ALN,2018-01-08T11:35:00Z,34.2,34.2,NA,OVC,Illinois
ALN,2018-01-08T11:55:00Z,34,34,NA,OVC,Illinois
ALN,2018-01-08T12:15:00Z,34.3,34.3,NA,OVC,Illinois
ALN,2018-01-08T12:35:00Z,34.2,34.2,NA,OVC,Illinois
ALN,2018-01-08T12:45:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T13:45:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T14:45:00Z,35.6,35.6,NA,OVC,Illinois
ALN,2018-01-08T15:20:00Z,35.6,35.6,NA,OVC,Illinois
ALN,2018-01-08T15:45:00Z,35.6,35.6,NA,OVC,Illinois
ALN,2018-01-08T16:45:00Z,35.6,35.6,NA,OVC,Illinois
ALN,2018-01-08T17:45:00Z,35.6,35.6,NA,OVC,Illinois
ALN,2018-01-08T18:46:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T19:45:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T20:45:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T21:46:00Z,33.8,32,NA,OVC,Illinois
ALN,2018-01-08T22:46:00Z,33.8,33.8,NA,OVC,Illinois
ALN,2018-01-08T23:50:00Z,33.8,32,NA,OVC,Illinois
ALN,2018-01-09T00:50:00Z,32,32,100,OVC,Illinois
ALN,2018-01-09T01:50:00Z,32,32,100,OVC,Illinois
ALN,2018-01-09T02:50:00Z,32,32,100,OVC,Illinois
ALN,2018-01-09T03:50:00Z,32,32,100,OVC,Illinois
ALN,2018-01-09T04:15:00Z,31.8,31.6,99.2,OVC,Illinois
ALN,2018-01-09T04:35:00Z,31.8,31.8,100,OVC,Illinois
ALN,2018-01-09T04:55:00Z,31.6,31.6,100,OVC,Illinois
ALN,2018-01-09T05:15:00Z,31.6,31.6,100,OVC,Illinois
ALN,2018-01-09T05:35:00Z,31.6,31.6,100,OVC,Illinois
ALN,2018-01-09T05:55:00Z,31.6,31.6,100,OVC,Illinois
ALN,2018-01-09T06:15:00Z,31.5,31.5,100,OVC,Illinois
ALN,2018-01-09T06:35:00Z,31.5,31.5,100,OVC,Illinois
ALN,2018-01-09T06:55:00Z,31.5,31.5,100,OVC,Illinois
