station,valid,tmpf,dwpf,relh,skyc1,state
LGU,2018-01-01T00:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T00:51:00Z,27,15.1,60.37,NA,Utah
LGU,2018-01-01T01:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T01:51:00Z,24.1,12.9,61.83,NA,Utah
LGU,2018-01-01T02:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T02:51:00Z,21,10,61.95,NA,Utah
LGU,2018-01-01T02:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T03:51:00Z,19.9,12,70.95,NA,Utah
LGU,2018-01-01T03:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T04:51:00Z,15.1,6.1,66.96,NA,Utah
LGU,2018-01-01T04:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T05:51:00Z,17.1,9,69.99,NA,Utah
LGU,2018-01-01T05:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T06:51:00Z,16,9,73.41,NA,Utah
LGU,2018-01-01T06:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T07:51:00Z,15.1,8.1,73.31,NA,Utah
LGU,2018-01-01T07:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T08:51:00Z,17.1,8.1,67.22,NA,Utah
LGU,2018-01-01T09:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T09:51:00Z,14,6.1,70.26,NA,Utah
LGU,2018-01-01T09:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T10:51:00Z,15.1,7,69.75,NA,Utah
LGU,2018-01-01T10:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T11:51:00Z,16,8.1,70.5,NA,Utah
LGU,2018-01-01T12:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T12:51:00Z,16,9,73.41,NA,Utah
LGU,2018-01-01T12:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T13:51:00Z,17.1,9,69.99,NA,Utah
LGU,2018-01-01T13:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T14:51:00Z,18,10.9,73.3,NA,Utah
LGU,2018-01-01T15:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T15:51:00Z,19,12,73.73,NA,Utah
LGU,2018-01-01T15:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T16:51:00Z,21.9,14,71.18,NA,Utah
LGU,2018-01-01T16:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T17:51:00Z,25,16,68.2,NA,Utah
LGU,2018-01-01T17:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T18:51:00Z,28,16,60.25,NA,Utah
LGU,2018-01-01T18:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T19:51:00Z,28.9,15.1,55.83,NA,Utah
LGU,2018-01-01T20:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T20:51:00Z,32,16,51.2,NA,Utah
LGU,2018-01-01T20:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T21:51:00Z,33.1,18,53.4,NA,Utah
LGU,2018-01-01T21:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T22:51:00Z,33.1,18,53.4,NA,Utah
LGU,2018-01-01T22:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-01T23:51:00Z,30,15.1,53.38,NA,Utah
LGU,2018-01-01T23:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T00:51:00Z,28,17.1,63.19,NA,Utah
LGU,2018-01-02T00:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T01:51:00Z,26.1,15.1,62.65,NA,Utah
LGU,2018-01-02T01:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T02:51:00Z,21,12.9,70.45,NA,Utah
LGU,2018-01-02T02:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T03:51:00Z,19,12,73.73,NA,Utah
LGU,2018-01-02T03:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T04:51:00Z,21,14,73.94,NA,Utah
LGU,2018-01-02T05:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T05:51:00Z,19,12,73.73,NA,Utah
LGU,2018-01-02T05:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T06:51:00Z,18,10,70.41,NA,Utah
LGU,2018-01-02T06:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T07:51:00Z,14,7,73.19,NA,Utah
LGU,2018-01-02T07:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T08:51:00Z,17.1,10.9,76.2,NA,Utah
LGU,2018-01-02T08:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:30:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T09:51:00Z,14,6.1,70.26,NA,Utah
LGU,2018-01-02T09:55:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T10:51:00Z,17.1,8.1,67.22,NA,Utah
LGU,2018-01-02T11:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:05:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:10:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:15:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:20:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:25:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:35:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:40:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:45:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:50:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T11:51:00Z,12,3,66.56,NA,Utah
LGU,2018-01-02T11:57:00Z,12,3.9,69.38,NA,Utah
LGU,2018-01-02T11:59:00Z,10.9,3.9,72.85,NA,Utah
LGU,2018-01-02T12:00:00Z,NA,NA,NA,NA,Utah
LGU,2018-01-02T12:05:00Z,NA,NA,NA,NA,Utah
