station,valid,tmpf,dwpf,relh,skyc1,state
MQE,2018-01-01T00:56:00Z,3,-9,56.47,NA,Massachusetts
MQE,2018-01-01T01:56:00Z,1.9,-9,59.42,NA,Massachusetts
MQE,2018-01-01T02:56:00Z,1.9,-9,59.42,NA,Massachusetts
MQE,2018-01-01T03:56:00Z,1,-9,61.96,NA,Massachusetts
MQE,2018-01-01T04:56:00Z,0,-9.9,62.12,NA,Massachusetts
MQE,2018-01-01T05:56:00Z,0,-11,58.84,NA,Massachusetts
MQE,2018-01-01T06:56:00Z,-0.9,-11.9,58.69,NA,Massachusetts
MQE,2018-01-01T07:56:00Z,-2,-13,58.52,NA,Massachusetts
MQE,2018-01-01T08:56:00Z,-2.9,-13,NA,NA,Massachusetts
MQE,2018-01-01T09:56:00Z,-4,-13,64.37,NA,Massachusetts
MQE,2018-01-01T10:56:00Z,1,-14.1,48.09,NA,Massachusetts
MQE,2018-01-01T11:56:00Z,1,-14.1,NA,NA,Massachusetts
MQE,2018-01-01T12:56:00Z,1,-14.1,48.09,NA,Massachusetts
MQE,2018-01-01T13:56:00Z,1,-14.1,NA,NA,Massachusetts
MQE,2018-01-01T14:56:00Z,1,-13,50.82,NA,Massachusetts
MQE,2018-01-01T15:56:00Z,1,-11.9,53.69,NA,Massachusetts
MQE,2018-01-01T16:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-01T17:56:00Z,1,-9,NA,NA,Massachusetts
MQE,2018-01-01T18:56:00Z,1,-9,61.96,NA,Massachusetts
MQE,2018-01-01T19:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-01T20:56:00Z,1,-11,56.15,NA,Massachusetts
MQE,2018-01-01T21:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-01T22:56:00Z,1,-11.9,NA,NA,Massachusetts
MQE,2018-01-01T23:56:00Z,1,-11,56.15,NA,Massachusetts
MQE,2018-01-02T00:56:00Z,1,-11,56.15,NA,Massachusetts
MQE,2018-01-02T01:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-02T02:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-02T03:56:00Z,1,-11,56.15,NA,Massachusetts
MQE,2018-01-02T04:56:00Z,1,-11,56.15,NA,Massachusetts
MQE,2018-01-02T05:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-02T06:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-02T07:56:00Z,1,-9.9,59.28,NA,Massachusetts
MQE,2018-01-02T08:56:00Z,1,-9,61.96,NA,Massachusetts
MQE,2018-01-02T09:56:00Z,1,-8,65.07,NA,Massachusetts
MQE,2018-01-02T10:56:00Z,1,-8,65.07,NA,Massachusetts
MQE,2018-01-02T11:56:00Z,1,-8,65.07,NA,Massachusetts
MQE,2018-01-02T12:56:00Z,1,-7.1,67.99,NA,Massachusetts
MQE,2018-01-02T13:56:00Z,1,-6,71.71,NA,Massachusetts
MQE,2018-01-02T14:56:00Z,1,-6,71.71,NA,Massachusetts
MQE,2018-01-02T15:56:00Z,1,-7.1,67.99,NA,Massachusetts
MQE,2018-01-02T16:56:00Z,1,-7.1,67.99,NA,Massachusetts
MQE,2018-01-02T17:56:00Z,1,-8,65.07,NA,Massachusetts
MQE,2018-01-02T18:56:00Z,1,-8,65.07,NA,Massachusetts
MQE,2018-01-02T19:56:00Z,1,-5.1,74.89,NA,Massachusetts
MQE,2018-01-02T20:56:00Z,1,-2,86.84,NA,Massachusetts
MQE,2018-01-02T21:56:00Z,1,-0.9,91.47,NA,Massachusetts
MQE,2018-01-02T22:56:00Z,1,0,95.43,NA,Massachusetts
MQE,2018-01-02T23:56:00Z,1,0,95.43,NA,Massachusetts
MQE,2018-01-03T00:56:00Z,1,0,95.43,NA,Massachusetts
MQE,2018-01-03T01:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T02:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T03:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T04:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T05:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T06:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T07:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T08:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T09:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T10:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T11:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T12:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T13:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T14:56:00Z,1,1,100,NA,Massachusetts
MQE,2018-01-03T15:56:00Z,25,7,45.75,NA,Massachusetts
MQE,2018-01-03T16:56:00Z,27,6.1,40.42,NA,Massachusetts
MQE,2018-01-03T17:56:00Z,28,6.1,38.79,NA,Massachusetts
MQE,2018-01-03T18:56:00Z,28.9,3,32.43,NA,Massachusetts
MQE,2018-01-03T19:56:00Z,28,3,33.65,NA,Massachusetts
MQE,2018-01-03T20:56:00Z,27,7,42.11,NA,Massachusetts
MQE,2018-01-03T21:56:00Z,25,10,52.36,NA,Massachusetts
MQE,2018-01-03T22:56:00Z,24.1,10.9,56.59,NA,Massachusetts
MQE,2018-01-03T23:56:00Z,21.9,12,65.18,NA,Massachusetts
MQE,2018-01-04T00:56:00Z,21.9,12,65.18,NA,Massachusetts
MQE,2018-01-04T01:56:00Z,21.9,10.9,62.07,NA,Massachusetts
MQE,2018-01-04T02:56:00Z,23,10.9,59.26,NA,Massachusetts
MQE,2018-01-04T03:56:00Z,26.1,14,59.71,NA,Massachusetts
MQE,2018-01-04T04:56:00Z,28,12.9,52.61,NA,Massachusetts
MQE,2018-01-04T05:56:00Z,25,10.9,54.5,NA,Massachusetts
MQE,2018-01-04T06:56:00Z,21.9,12.9,67.82,NA,Massachusetts
MQE,2018-01-04T07:56:00Z,21.9,12,65.18,NA,Massachusetts
MQE,2018-01-04T08:56:00Z,23,8.1,52.27,NA,Massachusetts
MQE,2018-01-04T09:56:00Z,24.1,8.1,49.92,NA,Massachusetts
MQE,2018-01-04T10:56:00Z,25,14,62.5,NA,Massachusetts
MQE,2018-01-04T11:56:00Z,26.1,18,NA,NA,Massachusetts
MQE,2018-01-04T12:56:00Z,24.1,21,NA,NA,Massachusetts
MQE,2018-01-04T13:56:00Z,25,23,NA,NA,Massachusetts
MQE,2018-01-04T14:56:00Z,25,21.9,NA,NA,Massachusetts
MQE,2018-01-04T15:56:00Z,26.1,24.1,NA,NA,Massachusetts
MQE,2018-01-04T16:56:00Z,27,25,NA,NA,Massachusetts
MQE,2018-01-04T17:56:00Z,27,26.1,NA,NA,Massachusetts
MQE,2018-01-04T18:56:00Z,27,25,NA,NA,Massachusetts
MQE,2018-01-04T19:56:00Z,28,27,NA,NA,Massachusetts
MQE,2018-01-04T20:56:00Z,27,25,NA,NA,Massachusetts
MQE,2018-01-04T21:56:00Z,26.1,24.1,NA,NA,Massachusetts
MQE,2018-01-04T22:56:00Z,26.1,23,NA,NA,Massachusetts
MQE,2018-01-04T23:56:00Z,25,21.9,NA,NA,Massachusetts
MQE,2018-01-05T00:56:00Z,24.1,21,NA,NA,Massachusetts
MQE,2018-01-05T01:56:00Z,23,16,NA,NA,Massachusetts
MQE,2018-01-05T02:56:00Z,21,12.9,NA,NA,Massachusetts
MQE,2018-01-05T03:56:00Z,21,12,NA,NA,Massachusetts
MQE,2018-01-05T04:56:00Z,21,10,NA,NA,Massachusetts
MQE,2018-01-05T05:56:00Z,21,9,NA,NA,Massachusetts
MQE,2018-01-05T06:56:00Z,19.9,9,NA,NA,Massachusetts
MQE,2018-01-05T07:56:00Z,19.9,9,NA,NA,Massachusetts
MQE,2018-01-05T08:56:00Z,19,8.1,61.94,NA,Massachusetts
MQE,2018-01-05T09:56:00Z,17.1,6.1,NA,NA,Massachusetts
MQE,2018-01-05T10:56:00Z,12.9,3,NA,NA,Massachusetts
MQE,2018-01-05T11:56:00Z,10.9,0,NA,NA,Massachusetts
MQE,2018-01-05T12:56:00Z,9,1,NA,NA,Massachusetts
MQE,2018-01-05T13:56:00Z,10,-2,NA,NA,Massachusetts
MQE,2018-01-05T14:56:00Z,10,-2.9,NA,NA,Massachusetts
MQE,2018-01-05T15:56:00Z,12,-2.9,NA,NA,Massachusetts
MQE,2018-01-05T16:56:00Z,12,-2.9,NA,NA,Massachusetts
MQE,2018-01-05T17:56:00Z,10.9,-4,NA,NA,Massachusetts
MQE,2018-01-05T18:56:00Z,10.9,-5.1,NA,NA,Massachusetts
MQE,2018-01-05T19:56:00Z,10,-5.1,NA,NA,Massachusetts
MQE,2018-01-05T20:56:00Z,9,-7.1,NA,NA,Massachusetts
MQE,2018-01-05T21:56:00Z,7,-8,NA,NA,Massachusetts
MQE,2018-01-05T22:56:00Z,6.1,-9,NA,NA,Massachusetts
MQE,2018-01-05T23:56:00Z,5,-9,NA,NA,Massachusetts
MQE,2018-01-06T00:56:00Z,5,-9,NA,NA,Massachusetts
MQE,2018-01-06T01:56:00Z,5,-9,NA,NA,Massachusetts
MQE,2018-01-06T02:56:00Z,3.9,-9,NA,NA,Massachusetts
MQE,2018-01-06T03:56:00Z,3.9,-9,54.17,NA,Massachusetts
MQE,2018-01-06T04:56:00Z,3,-9,NA,NA,Massachusetts
MQE,2018-01-06T05:56:00Z,3,-9,NA,NA,Massachusetts
MQE,2018-01-06T06:56:00Z,3,-9.9,NA,NA,Massachusetts
MQE,2018-01-06T07:56:00Z,3.9,-11,NA,NA,Massachusetts
MQE,2018-01-06T08:56:00Z,3,-11,NA,NA,Massachusetts
MQE,2018-01-06T09:56:00Z,3,-11,NA,NA,Massachusetts
MQE,2018-01-06T10:56:00Z,3,-11,NA,NA,Massachusetts
MQE,2018-01-06T11:56:00Z,3,-11.9,48.93,NA,Massachusetts
MQE,2018-01-06T12:56:00Z,3,-11.9,NA,NA,Massachusetts
MQE,2018-01-06T13:56:00Z,3,-11.9,NA,NA,Massachusetts
MQE,2018-01-06T14:56:00Z,5,-11,NA,NA,Massachusetts
MQE,2018-01-06T15:56:00Z,7,-9.9,NA,NA,Massachusetts
MQE,2018-01-06T16:56:00Z,8.1,-9,NA,NA,Massachusetts
MQE,2018-01-06T17:56:00Z,8.1,-9,NA,NA,Massachusetts
MQE,2018-01-06T18:56:00Z,9,-9,NA,NA,Massachusetts
MQE,2018-01-06T19:56:00Z,8.1,-9.9,NA,NA,Massachusetts
MQE,2018-01-06T20:56:00Z,6.1,-11,44.38,NA,Massachusetts
MQE,2018-01-06T21:56:00Z,5,-11,NA,NA,Massachusetts
MQE,2018-01-06T22:56:00Z,3.9,-11,NA,NA,Massachusetts
MQE,2018-01-06T23:56:00Z,3.9,-11,49.08,NA,Massachusetts
MQE,2018-01-07T00:56:00Z,3,-11,51.16,NA,Massachusetts
MQE,2018-01-07T01:56:00Z,3,-11.9,48.93,NA,Massachusetts
MQE,2018-01-07T02:56:00Z,1.9,-11.9,NA,NA,Massachusetts
MQE,2018-01-07T03:56:00Z,0,-14.1,50.39,NA,Massachusetts
MQE,2018-01-07T04:56:00Z,-2,-16.1,NA,NA,Massachusetts
MQE,2018-01-07T05:56:00Z,-4,-17,NA,NA,Massachusetts
MQE,2018-01-07T06:56:00Z,-5.1,-18,NA,NA,Massachusetts
MQE,2018-01-07T07:56:00Z,-5.1,-18,NA,NA,Massachusetts
MQE,2018-01-07T08:56:00Z,-6,-18,NA,NA,Massachusetts
MQE,2018-01-07T09:56:00Z,-6,-18.9,NA,NA,Massachusetts
MQE,2018-01-07T10:56:00Z,-6,-18.9,NA,NA,Massachusetts
MQE,2018-01-07T11:56:00Z,-7.1,-18.9,NA,NA,Massachusetts
MQE,2018-01-07T12:56:00Z,-6,-18,55,NA,Massachusetts
MQE,2018-01-07T13:56:00Z,-4,-17,52.58,NA,Massachusetts
MQE,2018-01-07T14:56:00Z,1,-15,45.96,NA,Massachusetts
MQE,2018-01-07T15:56:00Z,3.9,-14.1,42.04,NA,Massachusetts
MQE,2018-01-07T16:56:00Z,7,-11.9,40.74,NA,Massachusetts
MQE,2018-01-07T17:56:00Z,9,-11,38.93,NA,Massachusetts
MQE,2018-01-07T18:56:00Z,10.9,-11,35.76,NA,Massachusetts
MQE,2018-01-07T19:56:00Z,12,-11,34.05,NA,Massachusetts
MQE,2018-01-07T20:56:00Z,12,-9.9,35.96,NA,Massachusetts
MQE,2018-01-07T21:56:00Z,10.9,-9.9,37.75,NA,Massachusetts
MQE,2018-01-07T22:56:00Z,10.9,-9.9,37.75,NA,Massachusetts
MQE,2018-01-07T23:56:00Z,10.9,-9,39.46,NA,Massachusetts
MQE,2018-01-08T00:56:00Z,10,-9,NA,NA,Massachusetts
MQE,2018-01-08T01:56:00Z,10.9,-8,NA,NA,Massachusetts
MQE,2018-01-08T02:56:00Z,10.9,-2,NA,NA,Massachusetts
MQE,2018-01-08T03:56:00Z,12,1,NA,NA,Massachusetts
MQE,2018-01-08T04:56:00Z,14,3,NA,NA,Massachusetts
MQE,2018-01-08T05:56:00Z,18,1,NA,NA,Massachusetts
MQE,2018-01-08T06:56:00Z,19,1.9,NA,NA,Massachusetts
MQE,2018-01-08T07:56:00Z,19,3.9,NA,NA,Massachusetts
MQE,2018-01-08T08:56:00Z,19.9,5,NA,NA,Massachusetts
MQE,2018-01-08T09:56:00Z,19.9,5,NA,NA,Massachusetts
MQE,2018-01-08T10:56:00Z,21,7,NA,NA,Massachusetts
MQE,2018-01-08T11:56:00Z,21.9,7,NA,NA,Massachusetts
MQE,2018-01-08T12:56:00Z,21.9,8.1,NA,NA,Massachusetts
MQE,2018-01-08T13:56:00Z,21.9,9,NA,NA,Massachusetts
MQE,2018-01-08T14:56:00Z,26.1,10,NA,NA,Massachusetts
MQE,2018-01-08T15:56:00Z,28,8.1,NA,NA,Massachusetts
MQE,2018-01-08T16:56:00Z,30.9,10,NA,NA,Massachusetts
MQE,2018-01-08T17:56:00Z,33.1,10,NA,NA,Massachusetts
MQE,2018-01-08T18:56:00Z,33.1,15.1,NA,NA,Massachusetts
MQE,2018-01-08T19:56:00Z,33.1,16,NA,NA,Massachusetts
MQE,2018-01-08T20:56:00Z,32,18,NA,NA,Massachusetts
MQE,2018-01-08T21:56:00Z,32,21,NA,NA,Massachusetts
MQE,2018-01-08T22:56:00Z,32,21.9,NA,NA,Massachusetts
MQE,2018-01-08T23:56:00Z,30,26.1,NA,NA,Massachusetts
MQE,2018-01-09T00:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T01:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T02:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T03:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T04:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T05:56:00Z,30,26.1,85.21,NA,Massachusetts
MQE,2018-01-09T06:56:00Z,30,26.1,85.21,NA,Massachusetts
MQE,2018-01-09T07:56:00Z,30,25,81.4,NA,Massachusetts
MQE,2018-01-09T08:56:00Z,33.1,25,71.82,NA,Massachusetts
MQE,2018-01-09T09:56:00Z,39.9,25,54.9,NA,Massachusetts
MQE,2018-01-09T10:56:00Z,39.9,25,54.9,NA,Massachusetts
MQE,2018-01-09T11:56:00Z,39,25,56.86,NA,Massachusetts
MQE,2018-01-09T12:56:00Z,39.9,25,54.9,NA,Massachusetts
MQE,2018-01-09T13:56:00Z,43,25,48.7,NA,Massachusetts
MQE,2018-01-09T14:56:00Z,46,25,NA,NA,Massachusetts
MQE,2018-01-09T15:56:00Z,48.9,24.1,NA,NA,Massachusetts
MQE,2018-01-09T16:56:00Z,51.1,21.9,NA,NA,Massachusetts
MQE,2018-01-09T17:56:00Z,46.9,21,35.49,NA,Massachusetts
MQE,2018-01-09T18:56:00Z,45,19.9,36.4,NA,Massachusetts
MQE,2018-01-09T19:56:00Z,48.9,19,30.24,NA,Massachusetts
MQE,2018-01-09T20:56:00Z,45,19,NA,NA,Massachusetts
MQE,2018-01-09T21:56:00Z,42.1,19,39.14,NA,Massachusetts
MQE,2018-01-09T22:56:00Z,39.9,19,NA,NA,Massachusetts
MQE,2018-01-09T23:56:00Z,39,18,42.28,NA,Massachusetts
MQE,2018-01-10T00:56:00Z,37,18,45.73,NA,Massachusetts
MQE,2018-01-10T01:56:00Z,30.9,17.1,56.14,NA,Massachusetts
MQE,2018-01-10T02:56:00Z,37,17.1,43.99,NA,Massachusetts
MQE,2018-01-10T03:56:00Z,35.1,16,45.22,NA,Massachusetts
MQE,2018-01-10T04:56:00Z,33.1,15.1,47.1,NA,Massachusetts
MQE,2018-01-10T05:56:00Z,26.1,15.1,62.65,NA,Massachusetts
MQE,2018-01-10T06:56:00Z,27,15.1,60.37,NA,Massachusetts
MQE,2018-01-10T07:56:00Z,34,15.1,45.43,NA,Massachusetts
MQE,2018-01-10T08:56:00Z,28,14,55.21,NA,Massachusetts
MQE,2018-01-10T09:56:00Z,26.1,14,59.71,NA,Massachusetts
MQE,2018-01-10T10:56:00Z,27,14,57.53,NA,Massachusetts
MQE,2018-01-10T11:56:00Z,26.1,14,59.71,NA,Massachusetts
MQE,2018-01-10T12:56:00Z,32,14,46.92,NA,Massachusetts
MQE,2018-01-10T13:56:00Z,37,15.1,40.34,NA,Massachusetts
MQE,2018-01-10T14:56:00Z,39.9,15.1,36.01,NA,Massachusetts
MQE,2018-01-10T15:56:00Z,37.9,16,40.49,NA,Massachusetts
MQE,2018-01-10T16:56:00Z,33.1,17.1,51.37,NA,Massachusetts
MQE,2018-01-10T17:56:00Z,33.1,15.1,47.1,NA,Massachusetts
MQE,2018-01-10T18:56:00Z,35.1,16,45.22,NA,Massachusetts
MQE,2018-01-10T19:56:00Z,34,17.1,49.55,NA,Massachusetts
MQE,2018-01-10T20:56:00Z,33.1,19,55.75,NA,Massachusetts
MQE,2018-01-10T21:56:00Z,30.9,21,66.34,NA,Massachusetts
MQE,2018-01-10T22:56:00Z,30,21.9,71.48,NA,Massachusetts
MQE,2018-01-10T23:56:00Z,30,21.9,71.48,NA,Massachusetts
MQE,2018-01-11T00:56:00Z,30,21.9,71.48,NA,Massachusetts
MQE,2018-01-11T01:56:00Z,30,23,74.87,NA,Massachusetts
MQE,2018-01-11T02:56:00Z,30.9,24.1,75.59,NA,Massachusetts
MQE,2018-01-11T03:56:00Z,30.9,26.1,82.15,NA,Massachusetts
MQE,2018-01-11T04:56:00Z,32,27,81.55,NA,Massachusetts
MQE,2018-01-11T05:56:00Z,33.1,28,81.3,NA,Massachusetts
MQE,2018-01-11T06:56:00Z,34,28.9,81.37,NA,Massachusetts
MQE,2018-01-11T07:56:00Z,34,30,85.11,NA,Massachusetts
MQE,2018-01-11T08:56:00Z,36,32,85.23,NA,Massachusetts
MQE,2018-01-11T09:56:00Z,37,34,88.78,NA,Massachusetts
MQE,2018-01-11T10:56:00Z,37.9,35.1,89.53,NA,Massachusetts
MQE,2018-01-11T11:56:00Z,39,37,92.45,NA,Massachusetts
MQE,2018-01-11T12:56:00Z,39.9,39,96.55,NA,Massachusetts
MQE,2018-01-11T13:56:00Z,42.1,39.9,91.84,NA,Massachusetts
MQE,2018-01-11T14:56:00Z,44.1,42.1,92.62,NA,Massachusetts
MQE,2018-01-11T15:56:00Z,46.9,43,86.21,NA,Massachusetts
MQE,2018-01-11T16:56:00Z,48,44.1,86.28,NA,Massachusetts
MQE,2018-01-11T17:56:00Z,48.9,45,86.33,NA,Massachusetts
MQE,2018-01-11T18:56:00Z,50,45,82.86,NA,Massachusetts
MQE,2018-01-11T19:56:00Z,50,46,86.06,NA,Massachusetts
MQE,2018-01-11T20:56:00Z,48.9,45,86.33,NA,Massachusetts
MQE,2018-01-11T21:56:00Z,48,46,92.74,NA,Massachusetts
MQE,2018-01-11T22:56:00Z,46.9,45,93.06,NA,Massachusetts
MQE,2018-01-11T23:56:00Z,46,45,96.28,NA,Massachusetts
MQE,2018-01-12T00:56:00Z,46,45,96.28,NA,Massachusetts
MQE,2018-01-12T01:56:00Z,46,46,100,NA,Massachusetts
MQE,2018-01-12T02:56:00Z,46,46,100,NA,Massachusetts
MQE,2018-01-12T03:56:00Z,46,45,96.28,NA,Massachusetts
MQE,2018-01-12T04:56:00Z,45,45,100,NA,Massachusetts
MQE,2018-01-12T05:56:00Z,46,46,100,NA,Massachusetts
MQE,2018-01-12T06:56:00Z,46.9,46.9,100,NA,Massachusetts
MQE,2018-01-12T07:56:00Z,46.9,46.9,100,NA,Massachusetts
MQE,2018-01-12T08:56:00Z,48,48,100,NA,Massachusetts
MQE,2018-01-12T09:56:00Z,48,48,100,NA,Massachusetts
MQE,2018-01-12T10:56:00Z,48.9,48,96.69,NA,Massachusetts
MQE,2018-01-12T11:56:00Z,48.9,48.9,100,NA,Massachusetts
MQE,2018-01-12T12:56:00Z,50,50,100,NA,Massachusetts
MQE,2018-01-12T13:56:00Z,52,52,100,NA,Massachusetts
MQE,2018-01-12T14:56:00Z,54,53.1,96.76,NA,Massachusetts
MQE,2018-01-12T15:56:00Z,57,55,93.01,NA,Massachusetts
MQE,2018-01-12T16:56:00Z,57,55.9,96.1,NA,Massachusetts
MQE,2018-01-12T17:56:00Z,57,57,100,NA,Massachusetts
MQE,2018-01-12T18:56:00Z,57,57,100,NA,Massachusetts
MQE,2018-01-12T19:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-12T20:56:00Z,57,57,100,NA,Massachusetts
MQE,2018-01-12T21:56:00Z,57,57,100,NA,Massachusetts
MQE,2018-01-12T22:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-12T23:56:00Z,59,59,100,NA,Massachusetts
MQE,2018-01-13T00:56:00Z,60.1,60.1,100,NA,Massachusetts
MQE,2018-01-13T01:56:00Z,59,59,100,NA,Massachusetts
MQE,2018-01-13T02:56:00Z,57,57,100,NA,Massachusetts
MQE,2018-01-13T03:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-13T04:56:00Z,59,59,100,NA,Massachusetts
MQE,2018-01-13T05:56:00Z,60.1,60.1,100,NA,Massachusetts
MQE,2018-01-13T06:56:00Z,59,59,100,NA,Massachusetts
MQE,2018-01-13T07:56:00Z,60.1,60.1,100,NA,Massachusetts
MQE,2018-01-13T08:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-13T09:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-13T10:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-13T11:56:00Z,57.9,57.9,100,NA,Massachusetts
MQE,2018-01-13T12:56:00Z,55.9,55,96.78,NA,Massachusetts
MQE,2018-01-13T13:56:00Z,55,53.1,93.29,NA,Massachusetts
MQE,2018-01-13T14:56:00Z,55,52,89.59,NA,Massachusetts
MQE,2018-01-13T15:21:00Z,45,44.1,96.63,NA,Massachusetts
MQE,2018-01-13T15:56:00Z,41,37.9,88.62,NA,Massachusetts
MQE,2018-01-13T16:56:00Z,36,30,78.6,NA,Massachusetts
MQE,2018-01-13T17:56:00Z,32,24.1,72.3,NA,Massachusetts
MQE,2018-01-13T18:56:00Z,30.9,21,66.34,NA,Massachusetts
MQE,2018-01-13T19:56:00Z,32,21,63.45,NA,Massachusetts
MQE,2018-01-13T20:56:00Z,30,19.9,65.66,NA,Massachusetts
MQE,2018-01-13T21:56:00Z,28,18,65.69,NA,Massachusetts
MQE,2018-01-13T22:56:00Z,26.1,16,65.16,NA,Massachusetts
MQE,2018-01-13T23:56:00Z,24.1,14,64.89,NA,Massachusetts
MQE,2018-01-14T00:56:00Z,21.9,12,65.18,NA,Massachusetts
MQE,2018-01-14T01:56:00Z,19.9,10.9,67.57,NA,Massachusetts
MQE,2018-01-14T02:56:00Z,19,10,67.46,NA,Massachusetts
MQE,2018-01-14T03:56:00Z,18,9,67.33,NA,Massachusetts
MQE,2018-01-14T04:56:00Z,17.1,8.1,67.22,NA,Massachusetts
MQE,2018-01-14T05:56:00Z,16,6.1,64.39,NA,Massachusetts
MQE,2018-01-14T06:56:00Z,15.1,5,63.68,NA,Massachusetts
MQE,2018-01-14T07:56:00Z,14,3.9,63.53,NA,Massachusetts
MQE,2018-01-14T08:56:00Z,12.9,3.9,66.67,NA,Massachusetts
MQE,2018-01-14T09:56:00Z,12,3,66.56,NA,Massachusetts
MQE,2018-01-14T10:56:00Z,12,1,60.65,NA,Massachusetts
MQE,2018-01-14T11:56:00Z,10.9,1,63.69,NA,Massachusetts
MQE,2018-01-14T12:56:00Z,10.9,-0.9,58.26,NA,Massachusetts
MQE,2018-01-14T13:56:00Z,12.9,-2,50.62,NA,Massachusetts
MQE,2018-01-14T14:56:00Z,15.1,-0.9,48.42,NA,Massachusetts
MQE,2018-01-14T15:56:00Z,16,-2.9,42.35,NA,Massachusetts
MQE,2018-01-14T16:56:00Z,17.1,-0.9,44.39,NA,Massachusetts
MQE,2018-01-14T17:56:00Z,19,1.9,46.63,NA,Massachusetts
MQE,2018-01-14T18:56:00Z,19.9,3,47.22,NA,Massachusetts
MQE,2018-01-14T19:56:00Z,19.9,3.9,49.22,NA,Massachusetts
MQE,2018-01-14T20:56:00Z,19.9,3,47.22,NA,Massachusetts
MQE,2018-01-14T21:56:00Z,17.1,3,53.25,NA,Massachusetts
MQE,2018-01-14T22:56:00Z,16,1.9,53.07,NA,Massachusetts
MQE,2018-01-14T23:56:00Z,16,1.9,53.07,NA,Massachusetts
MQE,2018-01-15T00:56:00Z,15.1,-2,45.96,NA,Massachusetts
MQE,2018-01-15T01:56:00Z,14,-2,48.23,NA,Massachusetts
MQE,2018-01-15T02:56:00Z,12.9,-2,50.62,NA,Massachusetts
MQE,2018-01-15T03:56:00Z,12,1.9,63.25,NA,Massachusetts
MQE,2018-01-15T04:56:00Z,12,1,60.65,NA,Massachusetts
MQE,2018-01-15T05:56:00Z,12.9,3.9,66.67,NA,Massachusetts
MQE,2018-01-15T06:56:00Z,12.9,6.1,73.74,NA,Massachusetts
MQE,2018-01-15T07:56:00Z,14,7,73.19,NA,Massachusetts
MQE,2018-01-15T08:56:00Z,14,8.1,76.92,NA,Massachusetts
MQE,2018-01-15T09:56:00Z,12.9,8.1,80.74,NA,Massachusetts
MQE,2018-01-15T10:56:00Z,12.9,9,84.07,NA,Massachusetts
MQE,2018-01-15T11:56:00Z,10.9,7,83.93,NA,Massachusetts
MQE,2018-01-15T12:56:00Z,10.9,7,83.93,NA,Massachusetts
MQE,2018-01-15T13:56:00Z,10.9,8.1,88.21,NA,Massachusetts
MQE,2018-01-15T14:56:00Z,10.9,8.1,88.21,NA,Massachusetts
MQE,2018-01-15T15:56:00Z,12,8.1,84.01,NA,Massachusetts
MQE,2018-01-15T16:56:00Z,12.9,7,76.82,NA,Massachusetts
MQE,2018-01-15T17:56:00Z,12.9,8.1,80.74,NA,Massachusetts
MQE,2018-01-15T18:56:00Z,14,8.1,76.92,NA,Massachusetts
MQE,2018-01-15T19:56:00Z,14,6.1,70.26,NA,Massachusetts
MQE,2018-01-15T20:56:00Z,14,3.9,63.53,NA,Massachusetts
MQE,2018-01-15T21:56:00Z,15.1,5,63.68,NA,Massachusetts
MQE,2018-01-15T22:56:00Z,16,6.1,64.39,NA,Massachusetts
MQE,2018-01-15T23:56:00Z,17.1,5,58.38,NA,Massachusetts
MQE,2018-01-16T00:56:00Z,17.1,3,53.25,NA,Massachusetts
MQE,2018-01-16T01:56:00Z,17.1,5,58.38,NA,Massachusetts
MQE,2018-01-16T02:56:00Z,17.1,8.1,67.22,NA,Massachusetts
